代號,名稱,市場,產業別,一年(β),市值(億),成立年數,近3年平均ROE(%),近3年加權平均ROE(%),最新單季ROE(%),PER,累月營收年增(%),最新季度負債總額佔比(%),現金股利連配次數,成交價現金殖利率,一年(σ年),僑外投資持股(%),本國法人持股(%),最新近4Q每股自由金流(元)
5536,聖暉*,櫃,其他電子業,0.9,991,46.6,24.5,23.8,6.85,34.5,50.1,56.6,16,1.88,52,33.2,13,26.5
5543,桓鼎-KY,櫃,建材營造業,0.38,9.1,15.9,-8.11,-11.5,-6.6,,-7.09,70.7,-1,0,52.6,0.09,20.5,2.36
5548,安倉,櫃,建材營造業,0.64,14.1,49.8,14.7,14,1.59,14.7,9.69,54.6,3,5.76,29.7,0.32,31.7,-3.62
5601,台聯櫃,櫃,航運業,0.38,24.7,52.2,2.05,2.01,0.52,97.7,1.84,26.9,25,0.92,24.4,3.74,29.1,0.47
5603,陸海,櫃,航運業,0.66,21,52.2,9.77,8.96,-0.37,400,-29.4,28.2,5,5,32.5,6.72,19.5,3.23
5604,中連,櫃,其他業,0.34,41,71.1,6.56,8,1.13,15,-0.38,20.6,27,6.1,16.7,2.97,23.7,2.36
5609,中菲行,櫃,航運業,0.64,113,40.1,26.9,21.3,6.6,10.8,13,39.8,25,6.55,21.5,16,22.9,16
5701,劍湖山,櫃,觀光餐旅,0.28,6.71,39.1,-12.1,-12.1,-5.05,,2.77,78.6,-25,0,33.5,0.04,50.5,0.5
5703,亞都,櫃,觀光餐旅,0.48,10.6,48.3,-2.2,1.25,-0.22,55.7,2.31,47.2,-7,0,30.7,6.66,56.8,0.89
5704,老爺知,櫃,觀光餐旅,0.73,10.7,32.8,13.8,11.2,-1.84,,-30.3,19.8,-1,0,31.8,4.76,36.2,-2.25
5864,致和證,櫃,證券業,0.82,63.4,35.9,7.77,10.7,4.38,,-67.7,19.9,9,2.87,28.7,1.96,34,-0.08
5878,台名,櫃,保險業,0.2,10.5,22.9,10.8,10.5,6.56,15.5,4.81,31.9,13,5.5,14.6,0.56,46.8,4.6
5902,德記,櫃,居家生活,0.43,44.6,38.6,16,16,5.05,22.3,4.1,33.1,4,3.5,20.3,1.23,67.3,2.75
5903,全家,櫃,居家生活,0.12,431,37.1,29.3,31.3,4.04,11.1,3.67,88.1,24,5.96,12.1,51,35.1,37.2
5904,寶雅,櫃,居家生活,0.23,490,28.5,39.9,40.7,10,16.9,6.86,79.2,25,5,22.8,23.6,48.1,40.3
5905,南仁湖,櫃,觀光餐旅,0.75,31.3,35.8,-3.6,-3.35,-1.55,,-1.14,56.7,-4,0,37.1,3.54,34.1,-2.54
6015,宏遠證,櫃,證券業,0.59,42.7,63.8,2.02,4.01,-0.23,,-32.5,62,2,4.59,21.9,2.04,18.9,1.98
6016,康和證,櫃,證券業,0.67,87.9,35.2,7.32,9.61,1,,-22.5,79.8,2,1.76,21.9,3.66,24.4,2.6
6020,大展證,櫃,證券業,0.36,47.4,37.3,1.79,3.43,0.54,,-56.4,34.2,2,2.71,13,0.01,65,3.86
6021,美好證,櫃,證券業,0.56,68.6,37.2,3.11,3.98,2.77,,-17.1,73.4,3,8.38,23.4,6.83,57.2,-2.33
6023,元大期,櫃,證券業,0.28,276,28.4,12.3,13.1,3.75,10.7,-16.7,90.9,23,5.56,15.6,1.42,75,12.2
6026,福邦證,櫃,證券業,0.63,44.6,36,4.81,7.17,-0.4,80.4,-43.4,56.5,2,9.77,20.7,2.7,20.9,2.34
6101,寬魚國際,櫃,文化創意業,0.46,42.6,35.9,1.6,2.68,-3.36,,61.2,15.1,-1,0,29.4,0.32,16.8,0.16
