代號,名稱,市場,產業別,一年(β),市值(億),成立年數,近3年平均ROE(%),近3年加權平均ROE(%),最新單季ROE(%),PER,累月營收年增(%),最新季度負債總額佔比(%),現金股利連配次數,成交價現金殖利率,一年(σ年),僑外投資持股(%),本國法人持股(%),最新近4Q每股自由金流(元)
1240,茂生農經,櫃,農業科技業,-0.09,26,58.6,6.66,8.9,3.63,11.9,-5.43,31,9,4.59,23.2,3.79,20.4,4.85
1259,安心,櫃,觀光餐旅,0.38,18.9,34.8,5.17,4.59,0.91,65.4,-1.04,62.5,15,2.06,23.9,26.2,49,1.45
1264,德麥,櫃,食品工業,0.27,111,36.2,21.1,21.3,5.49,14.4,0.75,27.1,12,4.83,15.9,1.54,13.1,14.4
1268,漢來美食,櫃,觀光餐旅,0.53,66.1,22.7,14,16.1,3.24,15.7,5.08,68.9,10,4.79,19.2,1.28,79.4,15
1294,漢田生技,櫃,食品工業,,25.6,17.9,30,30.1,4.74,17.2,-9.26,33.3,3,3.79,,0.28,28.9,6.18
1295,生合,櫃,食品工業,,46.2,25.3,13.2,14.3,5.58,23.8,2.27,55.5,4,2.61,,2.1,29,-11.6
1336,台翰,櫃,電子零組件業,1.08,13.6,38.1,8.19,8.04,-0.26,11.5,1.56,42.3,8,5.4,40.1,6.05,42.8,-2.46
1565,精華,櫃,生技醫療業,0.77,71.6,39,12.4,11.6,0.46,11.5,-1.85,21.4,22,6.69,31.2,17.4,11.8,13.2
1569,濱川,櫃,電腦及週邊設備業,1.25,74.1,42.5,-0.27,-3.77,-10.4,,13.1,60.6,-1,0,68,3.01,12.8,-4.65
1570,力肯,櫃,電機機械,0.92,13.8,41.7,8.75,8.73,0.01,16.4,-25.3,16.9,10,4.87,32.6,5.73,4.68,0.65
1580,新麥,櫃,電機機械,0.63,68.6,42,19.8,21.3,5.42,10.9,6,35.1,20,6.59,21.4,6.07,14.4,14.1
1584,精剛,櫃,其他業,0.81,58.2,23.4,10.9,10.3,-1.12,92.8,-14.4,36.8,4,2.79,40.8,1.48,28,-6.13
1586,和勤,櫃,電機機械,0.38,29.3,32.9,0.49,0.43,-0.59,,-12.9,51.1,8,1.09,26.4,2.09,12.7,2.17
1591,駿吉-KY,櫃,電機機械,0.96,20.1,15.8,-0.48,-5.3,-5.73,,-46.3,8.72,-2,,50.2,2.8,6.53,-0.68
1593,祺驊,櫃,運動休閒,0.78,11.1,28.5,9.51,7.94,1.85,12.9,10.3,33.9,15,5.76,28.5,5.91,20.2,3.07
1595,川寶,櫃,電子零組件業,1.16,20.8,26.6,3.43,1.81,-2.07,,-13,33.8,17,1.3,63.8,1.53,28.2,2.5
1599,宏佳騰,櫃,電機機械,0.3,22.7,21.7,5.94,4.34,-2.6,30.4,-18.2,31.9,1,1.66,22.6,7.97,40,-1.65
1742,台蠟,櫃,化學工業,0.33,13.6,38.1,-0.07,2.51,-4.02,,-49.9,10,-3,0,22.4,0.28,39.4,17.6
1777,生泰,櫃,生技醫療業,0.65,33.3,42.9,13.8,14.1,0.69,11.1,3.77,18.1,24,7.1,23.9,2.3,48.2,11.9
1781,合世,櫃,生技醫療業,0.64,6.23,28.8,-2.47,-0.58,-10.9,,-45.2,49.1,-11,0,33.9,0.34,3.2,-0.99
1784,訊聯,櫃,生技醫療業,1.05,40.6,25.1,4.27,4.13,0.02,54.6,0.31,26.6,5,0,41.5,3.86,13.6,-8.01
1785,光洋科,櫃,其他電子業,1.16,362,47.1,11.1,11.5,-2.18,30.6,32.8,57.8,7,3.29,40.3,13.1,16.8,0.33
1788,杏昌,櫃,生技醫療業,0.17,61.7,36.6,13.4,12.8,3.3,18.3,3.38,43.1,22,5.05,8.6,10.6,38.7,8.23
1796,金穎生技,櫃,食品工業,0.68,24.4,26.2,7.87,5.45,0.11,,41.5,36.3,-1,0,39.9,0.74,42,-0.02
1799,易威,櫃,生技醫療業,0.86,55.9,27.1,-19.1,-17.8,-7.12,,12.1,45.6,-15,0,61.4,12.3,34.3,0.12
1813,寶利徠,櫃,生技醫療業,0.64,6.53,32,-2.5,-3.27,-7.45,,-0.69,31.2,-1,0,24.6,9.54,16.9,0.16
1815,富喬,櫃,電子零組件業,1.38,352,26.7,-2.67,-2.4,-0.43,130,49.3,49.9,-2,0,61.7,2.92,17.3,-2.53
2035,唐榮,櫃,鋼鐵工業,0.21,100,70.4,-14.7,-17.1,-14.6,,-14.8,83.2,-22,0,20.7,0.07,56.6,-6.75
2061,風青,櫃,電器電纜,1.04,9.93,31,-6.55,-4.68,-8.83,,2.28,45.5,-3,0,39,2.07,13,-0.27
2063,世鎧,櫃,鋼鐵工業,0.6,13.3,33.4,19.8,16.8,0.98,20.6,-13.3,52,17,7.25,27.1,1.37,40.6,-4.05
2064,晉椿,櫃,鋼鐵工業,0.49,9.29,54.4,-1.02,-2.33,-8.16,,-6.68,62,-2,0,27.7,0.09,26.7,2.38
2065,世豐,櫃,鋼鐵工業,0.72,19.6,52.1,16.8,14.7,-4.36,43.5,-13.1,51.3,14,,28,1.2,40.6,-7.25
2066,世德,櫃,電機機械,0.97,28.9,37.6,16.5,15.4,-2.95,32.7,-6.96,44.7,14,0,39.4,10.6,28.8,-0.92
2067,嘉鋼,櫃,電機機械,0.41,3.57,51.4,-21.2,-26.7,-13.1,,3.74,80.9,-6,0,48.5,11.2,36.8,-0.6
2070,精湛,櫃,電機機械,1.28,14.2,31,10,10.4,0.28,21.7,-11.2,38.8,10,2.51,53.6,3.87,28.2,4.33
2073,雄順,櫃,鋼鐵工業,0.38,7.67,15.4,6.17,4.78,-0.45,199,-4.61,40.5,4,2.51,28.1,0.07,37.7,0.45
2221,大甲,櫃,其他業,0.65,12,48.1,15.2,12.1,2,10.8,1.38,34.6,14,4.59,23.8,1.09,1.17,4.77
2230,泰茂,櫃,電機機械,0.83,70.4,34.6,22,23.7,-1.71,58.5,32,31.9,3,0.97,41.6,2.09,17.2,2.29
2235,謚源,櫃,電機機械,0.38,13,38.4,8.85,7.96,-1.31,30,1.59,20.4,14,8.28,27.8,0.13,36.7,2.24
2596,綠意,櫃,建材營造業,0.78,31.6,24.4,2.73,2.82,2.82,15.2,241,57.9,20,3.17,34.3,1.41,49,0.21
2640,大車隊,櫃,數位雲端,0.2,76.2,20,21.4,22.6,6.52,13.8,3.73,50.1,15,5.45,19.2,7.5,51.7,6.38
2641,正德,櫃,航運業,0.91,72.3,27,15.6,11,2.89,11.5,46.2,45.4,4,2.21,37.9,5.12,19.4,-10.4
2643,捷迅,櫃,航運業,0.52,24.5,41.6,20.9,16,0.25,13.5,73.3,38.1,12,6.43,18.6,2.44,20.1,3.49
2718,全心投控,櫃,建材營造業,0.95,51.3,48.5,37.7,52.2,13.9,1.35,-32.2,26.2,2,7.7,43.2,0.54,77.2,30.2
2719,燦星旅,櫃,觀光餐旅,0.95,25.1,22.6,5.26,10.1,-4.25,,-14.7,37.7,-10,0,51.2,0.22,80.9,-4.2
2724,藝舍-KY,櫃,其他業,0.76,11.4,23.7,18.9,28.2,-0.75,5.38,-72.8,11.8,-12,0,45.1,15.1,10.3,0.61
2726,雅茗-KY,櫃,觀光餐旅,0.8,4.61,15.7,-26.2,-10.7,-5.96,,11.7,56.1,-4,0,40.8,31.7,2.57,-5.82
2729,瓦城,櫃,觀光餐旅,0.33,82.3,25,12.3,13.8,2.95,21.5,0.31,59.1,16,4.27,15.1,1.85,17.2,11.7
2732,六角,櫃,觀光餐旅,0.67,33.5,21.6,12.8,12.1,-1.31,41.1,1.3,60.6,13,5.56,24.5,3.75,42.1,0.88
2734,易飛網,櫃,觀光餐旅,0.81,11.9,25.7,-0.73,3.84,-2.37,,-21.6,33.4,-9,0,44.8,3.18,24.6,-0.91
2736,富野,櫃,觀光餐旅,0.88,9.33,17.2,-3.39,-5.45,-3.34,,56.3,40.3,-4,0,39.8,0.61,20.2,-3.17
2740,天蔥,櫃,觀光餐旅,0.67,3.25,18.6,-45.3,-42.6,-24.7,,-39.3,34.2,-9,0,58.8,2.19,65.2,-0.33
2743,山富,櫃,觀光餐旅,1.07,43.6,37.3,21,27.6,-4.55,19.9,-5.51,61.9,2,2.15,47.7,0.97,21.5,14.4
2745,五福,櫃,觀光餐旅,0.97,39,37.1,24.1,36.5,3.72,13.6,14.2,69.5,2,5.63,46.9,1.62,38.8,5.08
2751,王座,櫃,觀光餐旅,0.7,14.5,9.8,29.3,30.7,4.7,16.9,22.4,61.5,2,8.13,28,0.39,64.4,5.21
2752,豆府,櫃,觀光餐旅,0.22,55,17.7,31.3,32.2,7.1,13.9,13.2,44.2,7,6.8,21.4,1.23,61,14.4
2754,亞洲藏壽司,櫃,觀光餐旅,0.62,45.4,11.7,13.3,11.2,2.52,86.5,5.58,67,7,0.83,26.6,69.5,2.27,14.3
2755,揚秦,櫃,觀光餐旅,0.6,47.5,10.1,20,20.7,6.11,19.5,19.9,56,7,2.28,34.9,1.26,50.9,4.34
2756,聯發國際,櫃,觀光餐旅,0.28,24,21.6,22.4,17.8,3.24,46.7,65.6,56.7,7,2.66,36.8,0.19,42.9,5.46
2916,滿心,櫃,居家生活,0.38,30.7,41.3,19.5,19.5,4.09,11.3,3.78,25.5,26,7.58,18.7,21.6,15.9,2.44
2924,宏太-KY,櫃,居家生活,0.4,14.2,16.6,-11.7,-16.5,-2.71,,-75.1,39.4,-8,0,40.6,66.8,13.6,-3.06
2926,誠品生活,櫃,文化創意業,0.32,21.3,20,-13,-8.86,0.51,46.8,2.47,96.4,1,0.44,17.7,1.34,63.8,35.7
2937,集雅社,櫃,居家生活,0.35,18.2,30.9,15.2,14.7,2.57,10.8,13.4,63.8,10,4.79,32,0.58,74.9,1.45
2941,米斯特,櫃,居家生活,0.4,10.7,14.9,20.2,19.3,3.89,24.1,19.2,48.3,3,4.61,37.5,0.85,54.3,3.01
2947,振宇五金,櫃,居家生活,0.37,19.1,17.4,8.04,8,1.58,26.9,6.93,73.4,6,1.22,25.4,0.69,36.7,10.7
2948,寶陞,櫃,居家生活,0.32,12.7,9,14,10.7,1.77,20.9,5.09,54.4,5,4.45,34.9,0.13,71.4,7.88
2949,欣新網,櫃,數位雲端,0.34,21.6,12,16.8,13.2,2.29,19.3,21.7,53.6,3,1.42,34.6,0.04,65.1,-6.76
3064,泰偉,櫃,文化創意業,0.35,6.4,25.1,-41.7,-48.6,-16.2,,-20.2,74.8,-12,0,43.3,0.21,5.51,-1.36
3066,李洲,櫃,光電業,1.18,13,51.3,3.92,2.62,-7.8,,16.6,34.4,-18,0,51.9,0.84,26.1,-0.77
3067,全域,櫃,其他電子業,0.41,3.76,51.8,-0.48,-1.32,-6.69,,-4.23,20.7,-13,0,52.1,0,66.7,-3.53
3071,協禧,櫃,電腦及週邊設備業,1.11,26.7,47.2,9.98,8.78,2.06,25.9,-8.22,53.5,8,3.33,40.8,0.65,52.2,1.71
3073,天方能源,櫃,綠能環保,1.26,16.1,33.9,0.99,0.98,-0.7,22.6,107,61.6,-15,0,60.3,1.4,37.5,-14.7
3078,僑威,櫃,電子零組件業,1.14,184,32,18.9,20,5.71,13.3,34.6,44.1,22,4.95,40.8,19.4,34.8,6.53
3081,聯亞,櫃,通信網路業,1.74,444,28.3,0.35,-1.16,2.53,284,69.8,14.3,12,0.1,73,20,13.6,-0.13
3083,網龍,櫃,文化創意業,0.84,29.3,25.5,1.21,2.45,-0.67,,-24.4,8.78,-12,0,29.7,0.94,49.7,
3085,新零售,櫃,數位雲端,0.54,10.8,31.1,-25.6,-25.5,-2.12,,3.59,19,-17,0,56.1,5.69,78,-4.7
3086,華義,櫃,文化創意業,1.17,37.4,32.1,9,7.75,-5.55,,3.97,9.88,4,0.11,50.6,39.9,36.1,0.74
3088,艾訊,櫃,電腦及週邊設備業,1.19,88.6,35.4,18.1,17.9,-0.6,15.8,3.35,34.2,24,5.26,41,15,29.3,9.06
3093,港建*,櫃,其他電子業,0.97,37.4,48.3,26.2,21.7,3.29,17.3,134,43,25,4.19,41.1,67.8,3.88,1.4
3095,及成,櫃,通信網路業,0.91,2.86,52.5,-27.2,-14.2,-12,,-1.05,86.3,-17,0,53.6,3.15,4.56,-2.19
3105,穩懋,櫃,半導體業,1.28,407,25.9,1.08,0.58,-1.31,,-17.8,38.9,1,1.04,44.2,16.9,7.8,8.17
3114,好德,櫃,電子零組件業,0.76,16,47,9.91,8.5,-1.14,29.9,12.6,41.4,23,4.89,26.4,0.66,18.6,0.27
3115,富榮綱,櫃,電子零組件業,0.26,7.21,33.1,-10.6,-11.6,-2.92,,169,6.6,-19,0,44.3,4.66,33.4,-0.67
3118,進階,櫃,生技醫療業,0.33,10.9,35.8,11.3,11.5,2.62,15.9,1.77,36.9,21,5.34,15.9,0.83,10.3,-4.72
3122,笙泉,櫃,半導體業,1.14,11.8,26.2,-6.1,-8.89,-5.28,,-8.55,39.4,-2,0,48.7,2.88,9.09,3.73
3128,昇銳,櫃,光電業,0.98,15.7,38,9.87,9.5,-0.72,20.3,6.96,65,9,0.59,58.8,1.39,7.04,-5.46
3131,弘塑,櫃,其他電子業,1.26,437,32.4,19.9,19.6,4.8,47,54.9,62.4,17,1.47,57.7,22.4,18.2,36.2
3141,晶宏,櫃,半導體業,1.25,39,26.1,8.82,5.76,-2.1,,8.22,35.5,12,0.99,44.4,7.58,5.64,-7.08
3147,大綜,櫃,資訊服務業,1.24,81,33.9,26.9,28.4,1.28,15.3,92.1,61.8,17,2.7,55.6,1.35,41.9,-1.76
3152,璟德,櫃,通信網路業,1.16,89.4,27.4,9.01,9.71,10.1,12.8,-11.2,19.6,19,4.32,41.7,13.5,34.1,9.97
3162,精確,櫃,電機機械,1.17,70.9,33.8,-0.69,1.37,2.39,22.1,103,68.3,1,0.92,53.8,57,1.66,2.37
3163,波若威,櫃,通信網路業,1.46,180,27.3,19.2,18.2,-0.23,84.5,8.98,28,7,1.35,57,7.47,3.13,2.64
3169,亞信,櫃,半導體業,1.21,64.7,30.4,16.4,14.4,2.39,29.9,12.2,17.9,23,2.93,39.9,2.91,25,1.83
3171,炎洲流通,櫃,居家生活,0.57,19.8,34.8,12.7,12.8,5.24,15.6,18,49.7,9,5.35,30.1,0.38,60.8,16.4
3176,基亞,櫃,生技醫療業,0.77,40.7,25.7,-20,-15.8,-2.11,,28.8,23.5,-26,0,33.4,3.89,15.7,-6.83
3178,公準,櫃,半導體業,1.09,27.9,47.5,14.1,11.3,-2.68,,-4.09,57.8,11,0.81,43.7,1.08,39.9,1.73
3188,鑫龍騰,櫃,建材營造業,0.93,53.5,24.8,11.6,13.4,0.97,22.1,7.39,75.7,7,6.27,38.8,1.02,42.1,-10.4
3191,雲嘉南,櫃,電子零組件業,0.47,5.97,34.4,-12.1,-13.2,-10.4,,3.12,45.6,-13,0,41.3,0.05,3.47,2.03
3205,佰研,櫃,生技醫療業,0.78,34.6,27.5,-12.5,-11.7,-2.11,,-8.18,7.56,-7,0,53.1,10.6,10.3,-16
3206,志豐,櫃,電子零組件業,0.78,20.3,46.2,17.2,16.6,1.65,14.7,-12.6,49.9,21,7.26,25.1,3.11,30.7,4.51
3207,耀勝,櫃,電子零組件業,1.03,48.4,33.7,11.2,5.41,1.57,,15.7,40.3,-1,0,46.9,1.1,13.1,9.16
3211,順達,櫃,電腦及週邊設備業,1.23,539,27.2,15.3,18.6,6.64,28.9,-17.9,47.3,21,3.54,58.5,12.2,8.64,13.8
3213,茂訊,櫃,電腦及週邊設備業,1.13,69.8,35.5,15.4,16.6,0.86,18.9,6.51,26.1,23,5.04,49.3,8.03,6.86,20.8
3217,優群,櫃,電子零組件業,1.08,162,38.1,18.7,19.9,4.68,15.2,25.5,32.4,16,4.9,35.3,9.47,21.9,10.7
3218,大學光,櫃,生技醫療業,0.9,138,31.1,32.6,31.9,1.22,15.6,-0.63,38.6,12,4.6,34,9.6,28.1,2.39
3219,倚強科,櫃,其他電子業,1.29,61.1,33,6.32,4.72,4.59,102,47.7,35.7,4,0.31,74.3,0.65,82.7,-2.01
3221,台嘉碩,櫃,通信網路業,0.94,21.6,27.9,5.16,3.41,-1.77,130,-0.28,30.8,21,4.34,27.5,4.15,6.55,0.75
3224,三顧,櫃,電子通路業,0.63,30.2,27,-5.22,-5.93,-4.21,,6.88,20.5,-17,0,34.2,1.55,22.6,-6.16
3226,龍鋒,櫃,電機機械,0.56,28.5,39,20.2,19.9,-5.09,28,-22.4,30,10,1.13,25.5,0.12,67.3,0.6
3227,原相,櫃,半導體業,1.4,368,27.2,12,13,3.33,18.5,14.6,27.2,22,4.06,50.2,28.2,11.1,15.9
3228,金麗科,櫃,半導體業,1.36,119,28.1,-5.29,-6.99,-7.09,,-37.9,25.6,-2,0,56.2,7.6,1.4,-2.39
3230,錦明,櫃,光電業,1.14,51.6,38.4,-2.65,8.18,-4.43,,-11,24,1,0.59,62.1,0.59,27.4,-0.78
3232,昱捷,櫃,電子通路業,0.69,12.2,37.8,2.1,2.03,-1.95,,-42.8,39.2,8,1.92,33.6,7.95,2.86,2.55
3234,光環,櫃,通信網路業,1.43,40.2,28.1,-31.7,-36.7,-7.18,,21,29.4,-8,0,58.5,3.38,15.5,-0.65
3236,千如,櫃,電子零組件業,0.81,20.4,46.3,5.85,3.22,-1.36,,7.51,53.3,11,1.8,35,10.7,4.79,0.25
3252,海灣,櫃,觀光餐旅,0.39,10.1,31.2,0.02,-0.11,0.07,,-4.32,48.5,-3,0,18.9,6.23,19.7,1.48
3259,鑫創,櫃,半導體業,0.72,16.3,26.8,-36.8,-37.4,-9.05,,8.63,22.7,-15,0,41.2,10.9,9.01,-5.67
3260,威剛,櫃,半導體業,1.03,453,24.4,11.6,13.3,4.66,18.9,18.3,66.2,14,0,35.3,11.7,11.4,2.44
3264,欣銓,櫃,半導體業,1.06,417,25.9,17,15.1,3.1,18.6,1.66,51.2,21,4.71,41.9,18.8,16.9,4.17
3265,台星科,櫃,半導體業,1.21,134,25.4,15,14.4,1.54,19.5,11.5,33.1,20,4.67,38.2,1.73,53,2.81
3268,海德威,櫃,半導體業,0.95,6.34,34.4,3.71,2.2,-8.96,,-5.27,53.4,-2,0,38.9,1.11,9.9,-1.14
3272,東碩,櫃,電腦及週邊設備業,1.03,15.1,32.6,-7.2,-11.6,-6.28,,11.9,76.1,-2,0,41.2,0.54,5.17,-12.5
3276,宇環,櫃,電子零組件業,0.79,10.3,25.7,2.43,0.23,-1.17,92.5,-50.9,40.9,4,0.14,38,0.99,45.4,0.63
3284,太普高,櫃,其他業,1.01,26.4,26.9,9.39,11.8,0.21,12.7,-28.8,50.4,3,3.29,46.4,0.94,40.9,-1.33
3285,微端,櫃,其他電子業,0.47,11.8,30.2,4.23,5.89,-1.63,78.6,-22,31.1,2,3.64,30.5,14,33.6,1.5
3287,廣寰科,櫃,電腦及週邊設備業,1.23,15.1,26.4,10.1,13,-3.24,,14.1,44.4,2,4.35,55.4,0.51,47.9,2.19
3288,點晶,櫃,電子零組件業,0.53,2.61,28.7,-0.04,-1.42,1.61,,1.99,54.2,-17,0,44.7,0.19,4.38,
3289,宜特,櫃,其他電子業,1.25,92.6,31.5,11.5,11.9,2.87,22.3,11.3,59.9,7,0.97,41,12.5,12.8,-0.25
3290,東浦,櫃,電子零組件業,0.92,36.1,30.5,8.63,9.33,0.4,29.9,16,56.9,-1,0,37.2,3.05,30.4,-2.05
3293,鈊象,櫃,文化創意業,0.83,"2,294",35.9,58.5,61,20.2,23.4,22.5,53.5,22,3.56,37,25.1,8.53,31.6
3294,英濟,櫃,電子零組件業,1.29,67.9,33.9,-3.26,-1.54,-3.17,,-18.2,53.6,1,0.74,57.3,6.51,32.2,-1.32
3297,杭特,櫃,光電業,0.86,21.5,36.8,-0.82,-1.08,2.15,426,20.1,20.1,-5,0,70.4,1.01,0.05,3.18
3303,岱稜,櫃,其他電子業,1.14,45.9,35.1,14.3,14.8,3.31,11.6,1.9,44.8,13,5.67,44.4,4.85,14.7,3.35
3306,鼎天,櫃,通信網路業,1.3,28.7,27.7,3.31,3.97,3.07,20.2,11.5,12.4,16,3.7,44.3,2.21,44.4,3.22
3310,佳穎,櫃,電子零組件業,0.71,47.3,37.3,10.8,10.5,0.65,17.7,125,70.5,13,4.48,30.6,0.1,64.4,15.5
3313,斐成,櫃,其他業,0.95,38.4,31.8,-1.59,3.91,-1.56,,-79.8,38.9,-18,0,43,0.2,40.8,-9.24
3317,尼克森,櫃,半導體業,1.14,45.4,27,10.6,8.46,1.54,18.7,13.3,15.5,8,0.79,37.8,4.3,16.6,3.87
3322,建舜電,櫃,電子零組件業,1.15,17.8,48.5,3.33,-0.02,-4.65,,10.3,54.5,-1,0,42.2,2.25,11.6,-0.49
3323,加百裕,櫃,電腦及週邊設備業,1.32,44.9,27.8,-1.8,-3.99,-3.12,,-5.56,48.3,1,1.05,64.3,4.4,6.03,-0.45
3324,雙鴻,櫃,其他電子業,1.35,822,27.1,22.5,22.5,1.76,52.5,30.5,52.7,14,1.12,53.3,10.3,2.74,-13.8
3325,旭品,櫃,電腦及週邊設備業,1.09,18.3,29.4,-6.99,-6.75,-3.11,,-14.4,51.1,-4,0,46.9,1.58,2.24,-1.27
3332,幸康,櫃,電子零組件業,0.55,26,34.6,9.76,8.37,3.1,18.4,25.3,25.6,22,2.04,46.8,0.26,6.29,4.53
3339,泰谷,櫃,光電業,0.92,23.4,25.3,0.31,1.38,-8.41,,31.2,28.5,-14,0,47.2,2.41,14.7,-2.62
3349,寶德,櫃,電腦及週邊設備業,0.87,8.73,28.4,-16.3,-16.5,-7.63,,24.7,44,-3,0,53.2,0.03,43.7,-0.72
3354,律勝,櫃,電子零組件業,1.14,12.4,28.8,-4.54,-4.64,-4.5,,-27,14.4,15,1.13,49.3,0.82,67.5,0.03
3357,臺慶科,櫃,電子零組件業,1.11,134,32.9,11.9,10.9,4.38,14.2,20.8,42.2,15,3.8,34.9,12.9,26.5,-1.63
3360,尚立,櫃,電子通路業,1.05,9.82,40.5,-4.94,-6.28,-2.29,,12.3,69.4,-2,0,40.1,2.57,3.65,-0.09
3362,先進光,櫃,光電業,1.36,165,38.8,13,12,-5.66,,2.53,64.5,3,0.86,46.6,4.17,28.8,-13.4
3363,上詮,櫃,通信網路業,1.54,374,30.3,0.44,-0.46,0.67,,50.4,21.6,-1,0,71.2,14.3,21.4,-1.91
3372,典範,櫃,半導體業,1.01,28.2,27.2,-5.08,-7.45,-4.72,,13.5,16,-2,0,42.5,0.78,36.4,-1.44
3373,熱映,櫃,其他電子業,0.57,9.19,25.2,-1.82,-2.81,-2.74,,0.78,6.88,-1,0,45.6,5.66,1.93,-0.5
3374,精材,櫃,半導體業,1.38,396,27,22.2,20.6,0.71,27.8,-3.3,39.4,5,1.71,48.2,4,41.8,-1.31
3379,彬台,櫃,電機機械,1.4,22.5,44.5,0.48,2.36,0.11,48.4,61.2,66.8,2,1.35,65.3,5.49,21.1,4.52
3388,崇越電,櫃,電子零組件業,0.47,45.9,31.6,7.74,7.14,1.6,15,-2.04,33,22,5.65,16.9,6.95,30.3,7.44
3390,旭軟,櫃,電子零組件業,0.91,15.6,26.9,6.99,7.17,-4.62,,-13.5,24.8,20,5.05,31.4,1.89,16.8,-4.11
3402,漢科,櫃,其他電子業,1.18,96.4,35.1,23.3,23.7,8.39,17.5,-6.85,70.6,11,3.79,41.8,3.08,19.4,12.6
3426,台興,櫃,電機機械,0.52,11,41.3,10.8,11.1,2.67,12.2,-9.74,34.8,11,5.97,26.4,0.4,37.9,-1.47
3430,奇鈦科,櫃,化學工業,1.13,20,27.7,16.8,15.4,0.13,18.4,9.14,30.9,15,4.22,45.1,4.37,12.9,1.5
3434,哲固,櫃,光電業,0.82,12.1,32.4,11.3,11.3,-2.4,39.1,-0.4,40.6,4,1.3,61.2,2.57,23.7,-6.63
3438,類比科,櫃,半導體業,1.14,21.6,26.5,3.6,2.99,-0.45,66.4,9.17,17.1,5,3.28,40.2,2.72,44.6,3.53
3441,聯一光,櫃,光電業,1.15,13.6,41.5,8.01,6.89,-3.06,84.9,26,23.5,9,2.21,42.2,5.04,6.94,3.21
3444,利機,櫃,電子通路業,1.06,27.3,32.4,14,11.6,1.85,27.8,10.6,31.6,22,3.29,40.2,11.9,13.5,6.2
3455,由田,櫃,光電業,1.31,60.2,33.3,17.3,14.5,-3.57,37.6,5.46,42.8,11,4.48,45.1,6.82,8.97,3.5
3465,進泰電子,櫃,其他電子業,0.92,16.7,32.4,6.55,4.3,-4.88,37.8,26.1,58,5,0,46.1,4.5,51.8,-0.23
3466,德晉,櫃,通信網路業,0.87,31,43.5,-13.1,-16.6,0.23,,-71.4,20.3,-5,0,58.6,6.22,39.5,-0.41
3467,台灣精材,櫃,半導體業,,14.6,28,8.15,6.95,0.14,60,-0.16,31.7,2,1.74,,0.79,58.1,-0.72
3479,安勤,櫃,電腦及週邊設備業,1.07,81.3,25.2,19.5,18.4,3.18,15.7,11.2,50.5,18,4.64,36.5,8.72,29.3,-7.7
3483,力致,櫃,電腦及週邊設備業,1.27,113,27.9,15.7,15.8,3.14,23.2,3.55,52.5,19,3.07,43.6,6.42,1.33,4.68
3484,崧騰,櫃,電子零組件業,1.17,40,33.1,9.75,9.13,2.83,12,13.4,42.2,21,4.82,40.1,10.7,5.61,2.71
3489,森寶,櫃,建材營造業,0.98,19.9,34.3,-1.16,-2.55,-0.18,,-37.9,69.1,7,2.28,42,1.04,62.6,8.87
3490,單井,櫃,光電業,1.1,13.5,36.2,6.77,6.4,1.92,,-6.19,33,12,4.07,41.3,1.83,5.19,-0.98
3491,昇達科,櫃,通信網路業,1.28,291,26,15.7,17.4,2.83,56.8,-5.36,39.5,20,1.48,53.2,21.6,13,11.6
3492,長盛,櫃,電子零組件業,1.03,8.4,31.4,7.55,7.64,2.35,13.5,6.53,37,12,4.23,46.4,1.9,37.5,1.23
3498,陽程,櫃,其他電子業,1.32,31.9,44.5,-2.86,-4.69,0.96,,77.7,31.6,-2,0,57.7,5.69,23.5,4.02
3499,環天科,櫃,通信網路業,0.94,8.52,25.4,-2.18,-2.02,-5.86,,-12.8,38.8,-5,0,44.3,0.71,0.03,-1.11
3508,位速,櫃,其他電子業,1.1,26.6,24,-25.3,-25.9,-10.4,,47.9,81.6,-12,0,51.8,1.33,9.38,-1.1
3511,矽瑪,櫃,電子零組件業,1.06,17.6,21.8,1.15,-2.64,-2.5,,9.37,24,-2,0,50.9,5.46,51.4,-0.19
3512,皇龍,櫃,建材營造業,0.56,25.7,33.3,15.2,11.9,-0.68,25.2,21.4,50.1,5,5.29,24.1,0.65,42,-2.36
3516,亞帝歐,櫃,光電業,0.9,11.8,33.8,2.26,1.75,-0.48,104,-21.2,41.3,5,1.27,36.5,1.1,28.9,-0.87
3520,華盈,櫃,電子零組件業,1.1,10.8,39.6,5.45,3.61,-1.45,,13.5,46.7,3,0.64,43.3,2.2,24.9,0.73
3521,鴻翊,櫃,建材營造業,0.64,15.3,39.5,-20.5,-18.8,1.5,,42.2,21.7,-17,0,41.9,0.14,61.7,1.71
3522,御嵿,櫃,觀光餐旅,1,12.6,24,-27.9,-26.7,-13.2,,38,72.8,-10,0,43,1.63,20.6,-1.11
3523,迎輝,櫃,光電業,0.75,12.2,27.7,-33.2,-31.9,-7.85,,-44,74.1,-16,0,53.7,0.04,65.8,-1.38
3526,凡甲,櫃,電子零組件業,0.89,165,26.9,26.9,28.7,8.52,14.7,26.5,46.6,19,6.49,33.1,21.7,37.9,29.7
3527,聚積,櫃,半導體業,0.82,30.1,26.2,3.52,1.85,-1.86,,-21.3,16.3,20,2.95,37.3,5.31,13.2,1.51
3529,力旺,櫃,半導體業,1.38,"1,576",25,53.2,52.8,11.6,88,6.07,49.1,19,1.04,55.5,63.2,5.88,24.5
